data_coleta,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url
2026-04-16,532578,"Memória Dale7, 8GB, 1333Mhz, DDR3L, Desktop, 1.35v",0.0,262.89,262.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/532578/memoria-dale7-8gb-1333mhz-ddr3l-desktop-1-35v
2026-04-16,532583,"Memória Dale7, 4GB, 2133Mhz, DDR4, Desktop, 1.2v",0.0,246.89,246.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/532583/memoria-dale7-4gb-2133mhz-ddr4-desktop-1-2v
2026-04-16,532557,"Memória Gamer Dale7 No Limits, 4GB, 1333Mhz, DDR3, Desktop, Azul",0.0,129.89,129.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1333 Mhz PC10666,Sem Garantia,False,https://www.kabum.com.br/produto/532557/memoria-gamer-dale7-no-limits-4gb-1333mhz-ddr3-desktop-azul
2026-04-16,990426,Mem 32gb Ddr5 Para Dell Inspiron 16 Plus 7620 7630 Xps 15 95,0.0,3599.0,3419.05,5,0,0,True,Outros,Hardware/Memória RAM/DDR 5/4800MHz,Sem Garantia,True,https://www.kabum.com.br/produto/990426/memoria-32gb-ddr5-para-dell-inspiron-16-plus-7620-7630
2026-04-16,886360,"Memória Ram 16gb Ddr3 1600mhz 10600r Servidores Hp, Ibm, Dell",0.0,452.0,452.0,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1600 Mhz PC12800,Sem Garantia,True,https://www.kabum.com.br/produto/886360/memoria-ram-16gb-ddr3-1600mhz-10600r-servidores-hp-ibm-dell
2026-04-16,960877,"Memória Ram Corsair Vengeance RGB, 96gb (2x 48GB) Ddr5 6000mhz, PC5-48000, Cl36, Intel Xmp 3.0 Preto - Cmh96gx5m2e6000c36",0.0,10625.0,10093.75,5,0,0,True,Corsair,Hardware/Memória RAM/DDR 5/6000MHz,Sem Garantia,False,https://www.kabum.com.br/produto/960877/memoria-ram-corsair-vengeance-rgb-96gb-2x-48gb-ddr5-6000mhz-pc5-48000-cl36-intel-xmp-3-0-preto-cmh96gx5m2e6000c36
2026-04-16,532556,"Memória Gamer Dale7 No Limits, 4GB, 1333Mhz, DDR3, Desktop, Preto",0.0,129.89,129.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3/1333 Mhz PC10666,Sem Garantia,False,https://www.kabum.com.br/produto/532556/memoria-gamer-dale7-no-limits-4gb-1333mhz-ddr3-desktop-preto
2026-04-16,262350,"Memória Corsair Vengeance DIMM, 8GB, 2400MHz, DDR4, Para Notebook - CMSX8GX4M1A2400C16.",0.0,625.0,625.0,0,0,0,True,Corsair,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/262350/memoria-corsair-vengeance-dimm-8gb-2400mhz-ddr4-para-notebook-cmsx8gx4m1a2400c16-
2026-04-16,579894,"Memória Ram Para Notebook Keepdata, 4GB, 2666MHz, DDR4, PC2666, 1.2V - KD26S19/4G",0.0,289.0,289.0,0,0,0,True,KEEPDATA,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/579894/memoria-ram-para-notebook-keepdata-4gb-2666mhz-ddr4-pc2666-1-2v-kd26s19-4g
2026-04-16,532572,"Memória Dale7, 2GB, 1333Mhz, DDR3, Notebook, 1.5v",0.0,58.89,58.89,0,0,0,True,Outros,Hardware/Memória RAM/DDR 3,Sem Garantia,False,https://www.kabum.com.br/produto/532572/memoria-dale7-2gb-1333mhz-ddr3-notebook-1-5v
2026-04-16,697874,Memoria 32gb Ddr5 5200 Cl40 1.25v Fury Beast Gaming KF552C40BB-32 Kingston,0.0,3779.9,3401.91,10,0,0,True,Kingston,Hardware/Memória RAM/DDR 5/5600MHz,Sem Garantia,False,https://www.kabum.com.br/produto/697874/memoria-32gb-ddr5-5200-cl40-1-25v-fury-beast-gaming-kf552c40bb-32-kingston
2026-04-16,457790,"Memória Sodimm 32GB,2666mhz, DDR4, Corsair Vengeance, 1.2v, C18, para Notebook - Cmsx32gx4m1a2666c18.",0.0,2505.0,2505.0,0,0,0,True,Corsair,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/457790/memoria-sodimm-32gb-2666mhz-ddr4-corsair-vengeance-1-2v-c18-para-notebook-cmsx32gx4m1a2666c18-
2026-04-16,994452,Memoria Ram Para Notebook 8GB Ddr4 2666mhz Micron So-dimm Mta8atf1g64hz-2g6d1 - Oem,0.0,419.0,419.0,0,0,0,True,Micron,Hardware/Memória RAM/DDR 4,Sem Garantia,False,https://www.kabum.com.br/produto/994452/memoria-ram-para-notebook-8gb-ddr4-2666mhz-micron-so-dimm-mta8atf1g64hz-2g6d1-oem
2026-04-16,729807,Memória 16gb Ddr4 3200mhz Redragon - Cl16 - Branco - Gm-712,0.0,1940.0,1590.8,18,0,0,True,Redragon,Hardware/Memória RAM/DDR 4,Sem Garantia,True,https://www.kabum.com.br/produto/729807/memoria-16gb-ddr4-3200mhz-redragon-cl16-branco-gm-712
